epoch	train_loss	test_loss	test_acc	test_f1	test_auc
1	0.693833	0.692499	0.522500	0.448972	0.527122
2	0.687542	0.692138	0.526406	0.582104	0.537243
3	0.677597	0.688222	0.543438	0.520827	0.563634
4	0.656844	0.694862	0.563281	0.640422	0.600750
5	0.607394	0.647159	0.639375	0.640162	0.689975
6	0.489552	0.570426	0.714219	0.666423	0.809733
7	0.326151	0.436148	0.815469	0.831982	0.894384
8	0.202959	0.347885	0.863125	0.871252	0.930223
9	0.135679	0.318437	0.884844	0.886318	0.947750
10	0.092141	0.304373	0.896094	0.898643	0.952279
11	0.059649	0.358133	0.889219	0.893239	0.948944
12	0.048886	0.318042	0.907031	0.908419	0.959347
13	0.042514	0.339953	0.908125	0.910448	0.958701
14	0.033680	0.321228	0.906406	0.907519	0.963042
15	0.028601	0.367342	0.906719	0.909119	0.961896
16	0.028984	0.370621	0.906719	0.909422	0.960545
17	0.029621	0.409356	0.901719	0.898269	0.968235
18	0.027635	0.335081	0.917500	0.917163	0.968549
19	0.023150	0.370674	0.918594	0.920833	0.967437
20	0.020260	0.366635	0.922500	0.924505	0.968412
21	0.024009	0.365136	0.919531	0.920830	0.966700
22	0.021696	0.429322	0.903125	0.907820	0.958484
23	0.018287	0.339589	0.921406	0.921419	0.970778
24	0.018845	0.419926	0.912344	0.916056	0.963075
25	0.019514	0.462223	0.907813	0.912463	0.962827
26	0.017631	0.400570	0.919844	0.922753	0.965639
27	0.014510	0.387150	0.920781	0.922584	0.967522
28	0.016346	0.384115	0.920469	0.922656	0.967514
29	0.014445	0.415488	0.922656	0.925193	0.967241
30	0.016622	0.585634	0.900781	0.907717	0.958591
