model	test_accuracy	test_precision	test_recall	test_f1	test_roc_auc
logreg_l2_tuned	0.7940477679129674	0.942792623259315	0.62625	0.7525912573231185	0.8263131098323742
linear_svm_calibrated_tuned	0.7936726272352133	0.9417293233082706	0.62625	0.7522522522522522	0.8258456967725794
random_forest_tuned	0.8068025509566087	0.9187990446946435	0.67325	0.7770884432260857	0.8525463159869903
extra_trees_tuned	0.8060522696011004	0.918918918918919	0.6715	0.7759641773797487	0.8509147798348762
gradient_boosting_tuned	0.8104289108415655	0.93125	0.6705	0.7796511627906977	0.8530485051288467
xgboost_tuned	0.8074277854195323	0.9371002132196162	0.65925	0.7739947167596125	0.8489781085814361
lightgbm_tuned	0.8076778792047018	0.9262465373961218	0.66875	0.7767131242740999	0.8523857893420065
catboost_tuned	0.8099287232712267	0.9278812974465148	0.67225	0.7796462742824007	0.8537425569176882
bagging_trees_tuned	0.8083031136676253	0.9246127366609295	0.6715	0.7779869659666908	0.8539841130848137
mlp_tuned	0.7944229085907215	0.9305555555555556	0.6365	0.755938242280285	0.8261607455591694
