read_id,y_sim
NC_039553.1_3_540_8:0:0_6:0:0_ef2,0
NC_039553.1_4_430_13:0:0_11:0:0_243d,0
NC_039553.1_5_495_6:0:0_11:0:0_1d49,0
NC_039553.1_6_523_6:0:0_9:0:0_82c,0
NC_039553.1_9_574_7:0:0_7:0:0_181b,0
NC_039553.1_10_391_9:0:0_8:0:0_256b,0
NC_039553.1_11_509_6:0:0_11:0:0_a19,0
NC_039553.1_12_427_9:0:0_9:0:0_157,0
NC_039553.1_12_489_8:0:0_9:0:0_86f,0
NC_039553.1_12_593_13:0:0_13:0:0_2375,0
NC_039553.1_14_515_7:0:0_7:0:0_20a4,0
NC_039553.1_15_525_9:0:0_9:0:0_1e76,0
NC_039553.1_17_520_4:0:0_8:0:0_25c,0
NC_039553.1_18_522_8:0:0_9:0:0_c84,0
NC_039553.1_18_593_8:0:0_3:0:0_eca,0
NC_039553.1_18_482_5:0:0_7:0:0_1e4b,0
NC_039553.1_19_516_6:0:0_8:0:0_c1a,0
NC_039553.1_20_525_9:0:0_10:0:0_1b37,0
NC_039553.1_21_560_10:0:0_9:0:0_169b,0
NC_039553.1_23_443_2:0:0_8:0:0_1909,0
