feature,n_nonnull,nunique,unique_frac,top_value_frac,std,flag
has_sa,39983,2,5.0021259035089915e-05,0.7969887202060876,0.40224084833635465,NEAR_CONSTANT
sa_count,39983,2,5.0021259035089915e-05,0.7969887202060876,0.40224084833635465,NEAR_CONSTANT
num_segments,39983,2,5.0021259035089915e-05,0.7969887202060876,0.40224084833635454,NEAR_CONSTANT
sa_opp_strand_count,39983,2,5.0021259035089915e-05,0.7969887202060876,0.40224084833635465,NEAR_CONSTANT
mean_base_quality,39983,2,5.0021259035089915e-05,0.5002125903508992,13.499998779744198,NEAR_CONSTANT
strand,39983,2,5.0021259035089915e-05,0.5000125053147588,0.49999999984361715,NEAR_CONSTANT
sa_min_nm,39983,8,0.00020008503614035966,0.9967736287922367,0.22556461002162922,NEAR_CONSTANT
sa_mean_nm,39983,8,0.00020008503614035966,0.9967736287922367,0.22556461002162922,NEAR_CONSTANT
microhomology_length,39983,8,0.00020008503614035966,0.6701348072930996,0.7612194671390804,NEAR_CONSTANT
microhomology_gc,39983,13,0.00032513818372808444,0.8031663456969212,0.35782200405019515,NEAR_CONSTANT
read_length,39983,1,2.5010629517544957e-05,1.0,0.0,CONSTANT
ref_name,39983,1,2.5010629517544957e-05,1.0,,CONSTANT
sa_diff_contig,39983,1,2.5010629517544957e-05,1.0,0.0,CONSTANT
sa_same_strand_count,39983,1,2.5010629517544957e-05,1.0,0.0,CONSTANT
mapq,39983,40,0.0010004251807017982,0.9676612560338144,1.469825264493077,
sa_max_mapq,39983,61,0.0015256484005702424,0.7969887202060876,16.712747783878118,
sa_mean_mapq,39983,61,0.0015256484005702424,0.7969887202060876,16.712747783878118,
softclip_right,39983,103,0.0025760948403071304,0.8173473726333692,16.91670848426745,
softclip_left,39983,106,0.0026511267288597653,0.8256759122627116,16.702820604270514,
total_clipped_bases,39983,112,0.0028011905059650353,0.6476002300977916,21.985885343774253,
breakpoint_read_pos,39983,147,0.0036765625390791086,0.6482004852062127,26.32867110342271,
cigar,39983,385,0.009629092364254807,0.6469749643598529,,
kmer_js_divergence,39983,1044,0.026111097216316936,0.33311657454418125,0.0928377369255731,
kmer_cosine_diff,39983,2264,0.05662406522772178,0.33311657454418125,0.185178686507526,
sa_min_delta_pos,39983,4771,0.11932571342820698,0.7969887202060876,1848.4184689894375,
sa_max_delta_pos,39983,4771,0.11932571342820698,0.7969887202060876,1848.4184689894375,
sa_mean_delta_pos,39983,4771,0.11932571342820698,0.7969887202060876,1848.4184689894375,
ref_start_1based,39983,14272,0.3569517044744016,0.0007253082560088037,4442.945966449342,
